ID,GENUS,GREENHOUSE,AGROENVIRONMENT,YEAR,PLANT_CONDITION,VARIETY,GRAFT,SUPPLIER,SEEDLING_GREENHOUSE,RASTID
322,Cmm,Desconocido,Desconocido,2005,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,6666666.374469
AER1,Cmm,Agricola el Rosal,IAT,2010,Enferma,Komeett,desconocido,Monsanto,Plantfort,6666666.6854
AER1002,Cmm,Agricola el Rosal,IAT,2013,Enferma,Torero,Multifort,Monsanto,Plantfort,33013.175
AeR106-1,Micrococcus,Agricola el Rosal,IAT,2014,Enferma,komeett,desconocido,Monsanto,Plantfort,6666666.155597
AeR1272,Micrococcus,Agricola el Rosal,IAT,2015,Enferma,Bigdena,desconocido,Syngenta,Plantfort,6666666.235531
AER1372,Cmm,Rancho Cipres,IAT,2016,Enferma,Pai Pai,Multifort,enza zaden,Plantfort,33013.181
RA1C,Microbacterium,Ninguno,CA,2017,Asintomatica,Silvestre,Ninguno,Ninguno,Ninguno,2.1422
RS6C,Cmm,Red Sun Farms SMA,Alta tecnologi­a,2018,Marchitez en hojas tallos amarillos,Komeett,Kaisen,Monsanto,Plantfort,2.1418
RS6E,Cmm,Red Sun Farms SMA,Alta tecnologÃia,2018,Marchitez en hojas tallos amarillos,Komeett,Kaisen,Monsanto,Plantfort,2.1425
RA1B,Clavibacter,Ninguno,CA,2017,Asintomática,Silvestre,Ninguno,Ninguno,Ninguno,2.1421
