 Organism name , Rast Id  ,Database   ,,
 Arthrospira platensis NIES-39 AP011615.1  ,6666666.212434, Cyanos   ,,  
 Synechococcus sp. PCC 7002  ,   , Cyanos   ,,  
 Cyanothece sp. ATCC 51142  ,   , Cyanos   ,,  
 Methanosarcina acetivorans  ,   , Archaea  ,,  
 Nanoarchaeum equitans Kin4-M  ,   , Archaea  ,,  
 Natronomonas pharaonis DSM 2160  ,   , Archaea  ,,  
 Sulfolobus solfataricus P2  ,   , Archaea  ,,  
 Mycobacterium tuberculosis H37Rv  ,83332.234, Actinos  ,,  
 Corynebacterium glutamicum ATCC 13032  ,196627.31, Actinos  ,,  
 Streptomyces coelicolor A3(2) NC_003888.3  ,6666666.112876, Actinos and Streptomyces ,,  
 Streptomyces sp. Mg1 NZ_CP011664.1   ,6666666.1469, Streptomyces  ,,  
,,,,  
,,,, 
